Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
R_AO_11.tif:0001-0480-0548:t:1/61 - 000_1011.nd2 (series 1),4084.95,38443.379,397.263,157039299,9292264543,R_AO_11_result.mat,000_1011.nd2:0001-0137-0168:t:1/61 - 000_1011.nd2 (series 1),395.325,514.087,80.08,203231.17,12025513
R_AO_13.tif:0001-0403-0476:t:1/61 - 000_1013.nd2 (series 1),1120.267,1275.115,213.102,1428469.715,84524820,R_AO_13_result.mat,000_1013.nd2:0001-0137-0168:t:1/61 - 000_1013.nd2 (series 1),395.325,518.408,80.08,204939.405,12126592
R_AO_14.tif:0001-0454-0494:t:1/61 - 000_1014.nd2 (series 1),2477.152,33392.757,252.279,82718926.29,4894610142,R_AO_14_result.mat,000_1014.nd2:0001-0137-0168:t:1/61 - 000_1014.nd2 (series 1),395.325,527.794,80.08,208650.07,12346158
R_AO_15.tif:0001-0396-0539:t:1/61 - 000_1015.nd2 (series 1),3617.665,2861.182,310.867,10350798.23,612473158,R_AO_15_result.mat,000_1015.nd2:0001-0137-0168:t:1/61 - 000_1015.nd2 (series 1),395.325,530.314,80.08,209646.241,12405103
R_AO_16.tif:0001-0379-0516:t:1/61 - 000_1016.nd2 (series 1),833.238,2952.001,147.768,2459718.886,145545470,R_AO_16_result.mat,000_1016.nd2:0001-0137-0168:t:1/61 - 000_1016.nd2 (series 1),395.325,531.381,80.08,210068.217,12430072
R_AO_17.tif:0001-0431-0473:t:1/61 - 000_1017.nd2 (series 1),1388.538,695.532,215.782,965773.286,57146338,R_AO_17_result.mat,000_1017.nd2:0001-0137-0168:t:1/61 - 000_1017.nd2 (series 1),395.325,527.648,80.08,208592.306,12342740
R_AO_18.tif:0001-0391-0464:t:1/61 - 000_1018.nd2 (series 1),1857.158,9378.516,241.828,17417388.3,1030614507,R_AO_18_result.mat,000_1018.nd2:0001-0137-0168:t:1/61 - 000_1018.nd2 (series 1),395.325,539.072,80.08,213108.679,12609981
R_AO_19.tif:0001-0363-0513:t:1/61 - 000_1019.nd2 (series 1),3411.384,28920.54,502.289,98659064.51,5837813417,R_AO_19_result.mat,000_1019.nd2:0001-0137-0168:t:1/61 - 000_1019.nd2 (series 1),395.325,550.09,80.08,217464.265,12867708
R_AO_20.tif:0001-0422-0552:t:1/61 - 000_1020.nd2 (series 1),1371.114,1436.515,282.506,1969625.98,116545895,R_AO_20_result.mat,000_1020.nd2:0001-0137-0168:t:1/61 - 000_1020.nd2 (series 1),395.325,529.224,80.08,209215.291,12379603
R_ao_1000.tif:0001-0402-0514:t:1/61 - 001_1.nd2 (series 1),921.05,894.319,220.821,823712.384,48740369,R_AO_123_00.mat,001_1.nd2:0001-0137-0168:t:1/61 - 001_1.nd2 (series 1),395.325,496.082,80.08,196113.684,11604360
R_ao_1001.tif:0001-0566-0522:t:1/61 - 001_1001.nd2 (series 1),725.281,6018.979,143.514,4365448.253,258310501,R_AO_123_01.mat,001_1001.nd2:0001-0137-0168:t:1/61 - 001_1001.nd2 (series 1),395.325,512.706,80.08,202685.317,11993214
R_ao_1002.tif:0001-0428-0478:t:1/61 - 001_1002.nd2 (series 1),1302.872,21806.67,305.687,28411298.9,1681141644,R_AO_123_02.mat,001_1002.nd2:0001-0137-0168:t:1/61 - 001_1002.nd2 (series 1),395.325,507.715,80.08,200712.191,11876461
R_ao_1003.tif:0001-0410-0497:t:1/61 - 001_1003.nd2 (series 1),187.32,32751.405,110.168,6134981.205,363016574,R_AO_123_03.mat,001_1003.nd2:0001-0137-0168:t:1/61 - 001_1003.nd2 (series 1),395.325,505.919,80.08,200002.171,11834448
R_ao_1004.tif:0001-0131-0181:t:1/61 - 001_1004.nd2 (series 1),393.669,22041.66,125.559,8677110.843,513438419,R_AO_123_04.mat,001_1004.nd2:0001-0137-0168:t:1/61 - 001_1004.nd2 (series 1),395.325,508.139,80.08,200879.974,11886389
R_ao_1005.tif:0001-0244-0389:t:1/61 - 001_1005.nd2 (series 1),367.879,2353.523,111.481,865812.219,51231483,R_AO_123_05.mat,001_1005.nd2:0001-0137-0168:t:1/61 - 001_1005.nd2 (series 1),395.325,513.319,80.08,202927.747,12007559
R_ao_1006.tif:0001-0144-0208:t:1/61 - 001_1006.nd2 (series 1),650.397,5163.147,185.018,3358093.371,198703714,R_AO_123_06.mat,001_1006.nd2:0001-0137-0168:t:1/61 - 001_1006.nd2 (series 1),395.325,511.594,80.08,202245.765,11967205
R_ao_1007.tif:0001-0142-0232:t:1/61 - 001_1007.nd2 (series 1),590.334,1761.072,130.041,1039620.689,61516006,R_AO_123_07.mat,001_1007.nd2:0001-0137-0168:t:1/61 - 001_1007.nd2 (series 1),395.325,509.405,80.08,201380.518,11916007
R_ao_1008.tif:0001-0111-0118:t:1/61 - 001_1008.nd2 (series 1),400.209,25466.485,133.404,10191915.88,603071837,R_AO_123_08.mat,001_1008.nd2:0001-0137-0168:t:1/61 - 001_1008.nd2 (series 1),395.325,506.385,80.08,200186.618,11845362
R_ao_1009.tif:0001-0129-0139:t:1/61 - 001_1004.nd2 (series 1),336.445,24876.24,187.055,8369492.915,495236178,R_AO_123_09.mat,001_1004.nd2:0001-0137-0168:t:1/61 - 001_1004.nd2 (series 1),395.325,508.139,80.08,200879.974,11886389
R_ao_1010.tif:0001-0165-0171:t:1/61 - 001_1008.nd2 (series 1),922.858,19342.554,199.287,17850439.61,1056238840,R_AO_123_10.mat,001_1008.nd2:0001-0137-0168:t:1/61 - 001_1008.nd2 (series 1),395.325,506.385,80.08,200186.618,11845362
eActinOnly_001.nd2:0001-0462-0487:t:1/61 - eActinOnly_001.nd2 (series 1),1357.442,1265.002,212.459,1717167.054,101607518,R_AO_518_01.mat,eActinOnly_001.nd2:0001-0118-0146:t:1/61 - eActinOnly_001.nd2 (series 1),411.329,519.342,82.16,213620.462,12640264
eActinOnly_002.nd2:0001-0396-0454:t:1/61 - eActinOnly_002.nd2 (series 1),996.035,1793.884,182.087,1786771.394,105726118,R_AO_518_02.mat,eActinOnly_002.nd2:0001-0118-0146:t:1/61 - eActinOnly_002.nd2 (series 1),411.329,521.157,82.16,214366.85,12684429
eActinOnly_003.nd2:0001-0422-0523:t:1/61 - eActinOnly_003.nd2 (series 1),654.216,2727.359,134.65,1784281.788,105578804,R_AO_518_03.mat,eActinOnly_003.nd2:0001-0118-0146:t:1/61 - eActinOnly_003.nd2 (series 1),411.329,519.136,82.16,213535.641,12635245
eActinOnly_004.nd2:0001-0273-0410:t:1/61 - eActinOnly_004.nd2 (series 1),402.288,3299.492,100.571,1327344.81,78541113,R_AO_518_04.mat,eActinOnly_004.nd2:0001-0118-0146:t:1/61 - eActinOnly_004.nd2 (series 1),411.329,527.011,82.16,216775.134,12826931
eActinOnly_005.nd2:0001-0329-0508:t:1/61 - eActinOnly_005.nd2 (series 1),2272.408,2983.448,243.191,6779611.03,401160416,R_AO_518_05.mat,eActinOnly_005.nd2:0001-0101-0860:t:1/61 - eActinOnly_005.nd2 (series 1),411.329,511.003,82.16,210190.319,12437297
eActinOnly_006.nd2:0001-0602-0735:t:1/61 - eActinOnly_006.nd2 (series 1),1125.794,4170.427,214.814,4695039.751,277813003,R_AO_518_06.mat,eActinOnly_006.nd2:0001-0301-0914:t:1/61 - eActinOnly_006.nd2 (series 1),411.329,512.701,82.16,210888.813,12478628
eActinOnly_007.nd2:0001-0339-0597:t:1/61 - eActinOnly_007.nd2 (series 1),614.552,3553.234,143.07,2183645.654,129209802,R_AO_518_07.mat,eActinOnly_007.nd2:0001-0301-0914:t:1/61 - eActinOnly_007.nd2 (series 1),411.329,504.901,82.16,207680.467,12288785
eActinOnly_008.nd2:0001-0378-0621:t:1/61 - eActinOnly_008.nd2 (series 1),1186.346,4212.627,214.43,4997634.166,295717998,R_AO_518_08.mat,eActinOnly_008.nd2:0001-0301-0914:t:1/61 - eActinOnly_008.nd2 (series 1),411.329,508.787,82.16,209278.919,12383368
eActinOnly_009.nd2:0001-0404-0493:t:1/61 - eActinOnly_009.nd2 (series 1),1054.323,2282.076,196.299,2406046.409,142369610,R_AO_518_09.mat,eActinOnly_009.nd2:0001-0301-0914:t:1/61 - eActinOnly_009.nd2 (series 1),411.329,501.026,82.16,206086.763,12194483
eActinOnly_010.nd2:0001-0477-0495:t:1/61 - eActinOnly_010.nd2 (series 1),1165.965,1210.155,220.372,1410997.917,83491001,R_AO_518_10.mat,eActinOnly_010.nd2:0001-0118-0146:t:1/61 - eActinOnly_010.nd2 (series 1),411.329,522.462,82.16,214903.746,12716198
eActinOnly_004.nd2:0001-0524-0595:t:1/61 - eActinOnly_004.nd2 (series 1),270.366,4094.724,88.944,1107074.891,65507390,R_AO_518_11.mat,eActinOnly_004.nd2:0001-0118-0146:t:1/61 - eActinOnly_004.nd2 (series 1),411.329,527.011,82.16,216775.134,12826931
