Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
C_AO_1.tif:0001-0503-0501:t:1/61 - 000_1.nd2 (series 1),535.46,24375.685,194.853,13052197.13,772319218,C_AO_finalresults_0001.mat,000_1.nd2:0001-0137-0168:t:1/61 - 000_1.nd2 (series 1),395.325,510.841,80.08,201947.987,11949585
C_AO_1001.tif:0001-0228-0206:t:1/61 - 000_1001.nd2 (series 1),824.534,21147.124,352.572,17436528.23,1031747047,C_AO_finalresults_1001.mat,000_1001.nd2:0001-0137-0168:t:1/61 - 000_1001.nd2 (series 1),395.325,512.78,80.08,202714.52,11994942
C_AO_1002-1.tif:0001-0489-0480:t:1/61 - 000_1002.nd2 (series 1),1563.825,32667.586,528.464,51086383.13,3022862363,C_AO_finalresults_1002.mat,000_1002.nd2:0001-0137-0168:t:1/61 - 000_1002.nd2 (series 1),395.325,511.327,80.08,202140.258,11960962
C_AO_1003.tif:0001-0400-0496:t:1/61 - 000_1003.nd2 (series 1),1025.746,34499.867,240.795,35388089.64,2093969424,C_AO_finalresults_1003.mat,000_1003.nd2:0001-0137-0168:t:1/61 - 000_1003.nd2 (series 1),395.325,525.063,80.08,207570.262,12282264
C_AO_1004.tif:0001-0536-0549:t:1/61 - 000_1004.nd2 (series 1),3045.786,27514.359,563.631,83802854.81,4958747913,C_AO_finalresults_1004.mat,000_1004.nd2:0001-0137-0168:t:1/61 - 000_1004.nd2 (series 1),395.325,513.329,80.08,202931.55,12007784
C_AO_1005.tif:0001-0452-0407:t:1/61 - 000_1005.nd2 (series 1),1329.557,3573.591,189.564,4751292.949,281141544,C_AO_finalresults_1005.mat,000_1005.nd2:0001-0137-0168:t:1/61 - 000_1005.nd2 (series 1),395.325,521.66,80.08,206224.971,12202661
C_AO_1006.tif:0001-0335-0550:t:1/61 - 000_1006.nd2 (series 1),384.762,41988.616,136.429,16155639.27,955954814,C_AO_finalresults_1006.mat,000_1006.nd2:0001-0137-0168:t:1/61 - 000_1006.nd2 (series 1),395.325,521.664,80.08,206226.898,12202775
C_AO_1007.tif:0001-0484-0558:t:1/61 - 000_1007.nd2 (series 1),1778.37,41811.997,346.346,74357218.9,4399834646,C_AO_finalresults_1007.mat,000_1007.nd2:0001-0137-0168:t:1/61 - 000_1007.nd2 (series 1),395.325,530.334,80.08,209654.336,12405582
C_AO_1008.tif:0001-0467-0548:t:1/61 - 000_1008.nd2 (series 1),2080.576,2904.533,312.674,6043103.443,357580021,C_AO_finalresults_1008.mat,000_1008.nd2:0001-0109-0204:t:1/61 - 000_1008.nd2 (series 1),395.325,530.279,80.08,209632.332,12404280
C_AO_1009.tif:0001-0402-0461:t:1/61 - 000_1009.nd2 (series 1),2552.881,3607.092,530.898,9208474.486,544880049,C_AO_finalresults_1009.mat,000_1009.nd2:0001-0111-0626:t:1/61 - 000_1009.nd2 (series 1),395.325,533.902,80.08,211064.556,12489027
