Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
R_D_21.tif:0001-0387-0559:c:1/2 t:1/60 - 000_1021.nd2 (series 1),334.62,3887.755,135.252,1300920.897,76977554,R_D_21_result.mat,000_1021.nd2:0001-0137-0168:c:1/2 t:1/60 - 000_1021.nd2 (series 1),395.325,527.044,80.08,208353.678,12328620
R_D_22.tif:0001-0423-0507:c:1/2 t:1/61 - 000_1022.nd2 (series 1),480.957,1715.216,135.819,824945.24,48813319,R_D_22_result.mat,000_1022.nd2:0001-0137-0168:c:1/2 t:1/61 - 000_1022.nd2 (series 1),395.325,526.54,80.08,208154.511,12316835
R_D_23.tif:0001-0318-0482:c:1/2 t:1/61 - 000_1023.nd2 (series 1),1272.046,5009.555,283.679,6372385.434,377064159,R_D_23_result.mat,000_1023.nd2:0001-0137-0168:c:1/2 t:1/61 - 000_1023.nd2 (series 1),395.325,538.359,80.08,212826.855,12593305
R_D_24.tif:0001-0418-0506:c:1/2 t:1/61 - 000_1024.nd2 (series 1),519.371,3559.424,258.609,1848661.132,109388213,R_D_24_result.mat,000_1024.nd2:0001-0137-0168:c:1/2 t:1/61 - 000_1024.nd2 (series 1),395.325,558.829,80.08,220919.082,13072135
R_D_25.tif:0001-0392-0490:c:1/2 t:1/61 - 000_1025.nd2 (series 1),533.516,2302.243,278.978,1228284.126,72679521,R_D_25_result.mat,000_1025.nd2:0001-0137-0168:c:1/2 t:1/61 - 000_1025.nd2 (series 1),395.325,563.504,80.08,222767.113,13181486
R_D_26.tif:0001-0473-0491:c:1/2 t:1/60 - 000_1026.nd2 (series 1),388.531,6868.314,143.545,2668553.525,157902547,R_D_26_result.mat,000_1026.nd2:0001-0137-0168:c:1/2 t:1/60 - 000_1026.nd2 (series 1),395.325,562.844,80.08,222506.296,13166053
R_D_27.tif:0001-0321-0448:c:1/2 t:1/61 - 000_1027.nd2 (series 1),1549.68,7279.236,514.857,11280483.29,667484098,R_D_27_result.mat,000_1027.nd2:0001-0113-0138:c:1/2 t:1/61 - 000_1027.nd2 (series 1),395.325,551.375,80.08,217972.381,12897774
R_D_28.tif:0001-0410-0528:c:1/2 t:1/61 - 000_1028.nd2 (series 1),1748.052,2157.749,501.428,3771857.734,223186808,R_D_28_result.mat,000_1028.nd2:0001-0137-0168:c:1/2 t:1/61 - 000_1028.nd2 (series 1),395.325,541.619,80.08,214115.446,12669553
R_D_29.tif:0001-0518-0518:c:1/2 t:1/59 - 000_1029.nd2 (series 1),1303.142,4553.379,215.975,5933701.003,351106505,R_D_29_result.mat,000_1029.nd2:0001-0137-0168:c:1/2 t:1/59 - 000_1029.nd2 (series 1),395.325,533.193,80.08,210784.287,12472443
R_D_30.tif:0001-0555-0577:c:1/2 t:1/60 - 000_1030.nd2 (series 1),1247.761,7336.481,403.908,9154174.86,541667054,R_D_30_result.mat,000_1030.nd2:0001-0137-0168:c:1/2 t:1/60 - 000_1030.nd2 (series 1),395.325,542.943,80.08,214638.957,12700530
R_d_1000.tif:0001-0543-0447:c:1/2 t:1/61 - 001_01.nd2 (series 1),1526.256,2611.27,409.758,3985467.604,235826443,R_D_123_00.mat,001_01.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_01.nd2 (series 1),395.325,522.105,80.08,206400.951,12213074
R_d_1001.tif:0001-0412-0474:c:1/2 t:1/61 - 001_01001.nd2 (series 1),1828.259,3246.487,256.142,5935420.426,351208246,R_D_123_01.mat,001_01001.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_01001.nd2 (series 1),395.325,521.756,80.08,206263.03,12204913
R_d_1002.tif:0001-0479-0509:c:1/2 t:1/61 - 001_01002.nd2 (series 1),1211.561,2588.592,284.41,3136237.939,185576176,R_D_123_02.mat,001_01002.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_01002.nd2 (series 1),395.325,516.141,80.08,204043.35,12073571
R_d_1003.tif:0001-0528-0456:c:1/2 t:1/61 - 001_01003.nd2 (series 1),910.826,3219.319,316.475,2932238.763,173505221,R_D_123_03.mat,001_01003.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_01003.nd2 (series 1),395.325,522.721,80.08,206644.716,12227498
R_d_1004.tif:0001-0409-0489:c:1/2 t:1/60 - 001_01004.nd2 (series 1),3589.763,2056.03,622.696,7380659.946,436725362,R_D_123_04.mat,001_01004.nd2:0001-0121-0356:c:1/2 t:1/60 - 001_01004.nd2 (series 1),395.325,518.738,80.08,205069.957,12134317
R_d_1005.tif:0001-0352-0477:c:1/2 t:1/60 - 001_01005.nd2 (series 1),1321.715,26500.565,274.748,35026206.51,2072556225,R_D_123_05.mat,001_01005.nd2:0001-0137-0168:c:1/2 t:1/60 - 001_01005.nd2 (series 1),395.325,507.54,80.08,200643.256,11872382
R_d_1006.tif:0001-0362-0513:c:1/2 t:1/61 - 001_01006.nd2 (series 1),1101.762,2194.363,332.646,2417665.391,143057098,R_D_123_06.mat,001_01006.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_01006.nd2 (series 1),395.325,535.525,80.08,211706.401,12527006
