Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
R_Te_01.tif:0001-0453-0527:c:1/2 t:1/61 - _1001.nd2 (series 1),3966.583,2369.252,676.371,9397833.831,556084742,R_Te_01_result.mat,_1001.nd2:0001-0137-0168:c:1/2 t:1/61 - _1001.nd2 (series 1),395.325,567.153,80.08,224209.799,13266852
R_Te_02.tif:0001-0469-0544:c:1/2 t:1/61 - _1002.nd2 (series 1),2451.396,6274.525,515.646,15381347.05,910138715,R_Te_02_result.mat,_1002.nd2:0001-0137-0168:c:1/2 t:1/61 - _1002.nd2 (series 1),395.325,551.258,80.08,217925.838,12895020
R_Te_03.tif:0001-0425-0514:c:1/2 t:1/61 - _1003.nd2 (series 1),1381.474,4368.318,358.759,6034717.644,357083820,R_Te_03_result.mat,_1003.nd2:0001-0137-0168:c:1/2 t:1/61 - _1003.nd2 (series 1),395.325,579.257,80.08,228994.78,13549987
R_Te_04.tif:0001-0554-0524:c:1/2 t:1/60 - _1004.nd2 (series 1),1149.707,563.25,460.605,647572.018,38317864,R_Te_04_result.mat,_1004.nd2:0001-0137-0168:c:1/2 t:1/60 - _1004.nd2 (series 1),395.325,530.928,80.08,209888.891,12419461
R_Te_05.tif:0001-0545-0695:c:1/2 t:1/61 - _1005.nd2 (series 1),1056.554,1846.293,301.747,1950708.759,115426533,R_Te_05_result.mat,_1005.nd2:0001-0137-0168:c:1/2 t:1/61 - _1005.nd2 (series 1),395.325,522.063,80.08,206384.321,12212090
R_Te_06.tif:0001-0449-0513:c:1/2 t:1/60 - _1006.nd2 (series 1),1716.381,4705.8,655.753,8076946.916,477925767,R_Te_06_result.mat,_1006.nd2:0001-0137-0168:c:1/2 t:1/60 - _1006.nd2 (series 1),395.325,536.633,80.08,212144.365,12552921
R_Te_07.tif:0001-0526-0573:c:1/2 t:1/61 - _1007.nd2 (series 1),1438.123,5564.064,214.614,8001807.154,473479628,R_Te_07_result.mat,_1007.nd2:0001-0137-0168:c:1/2 t:1/61 - _1007.nd2 (series 1),395.325,536.603,80.08,212132.298,12552207
R_Te_08.tif:0001-0568-0524:c:1/2 t:1/61 - _1008.nd2 (series 1),641.051,2769.816,232.404,1775592.82,105064645,R_Te_08_result.mat,_1008.nd2:0001-0137-0168:c:1/2 t:1/61 - _1008.nd2 (series 1),395.325,523.542,80.08,206968.96,12246684
R_Te_09.tif:0001-0623-0576:c:1/2 t:1/61 - _1009.nd2 (series 1),2312.833,2459.68,344.837,5688829.406,336617064,R_Te_09_result.mat,_1009.nd2:0001-0137-0168:c:1/2 t:1/61 - _1009.nd2 (series 1),395.325,517.616,80.08,204626.451,12108074
R_Te_10.tif:0001-0407-0555:c:1/2 t:1/61 - _1010.nd2 (series 1),936.514,21291.033,859.275,19939343.65,1179842607,R_Te_10_result.mat,_1010.nd2:0001-0137-0168:c:1/2 t:1/61 - _1010.nd2 (series 1),395.325,525.689,80.08,207817.88,12296916
001_1.nd2 - C=0:0001-0574-0455:c:1/2 t:1/61 - 001_1.nd2 (series 1),3131.976,870.194,929.919,2725426.699,161267852,R_Te_123_00.mat,001_1.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_1.nd2 (series 1),395.325,501.573,80.08,198284.269,11732797
R_tet_1001.tif:0001-0460-0509:c:1/2 t:1/60 - 001_1001.nd2 (series 1),4726.948,34394.262,681.636,162579878.4,9620109415,R_Te_123_01.mat,001_1001.nd2:0001-0139-0676:c:1/2 t:1/60 - 001_1001.nd2 (series 1),395.325,524.948,80.08,207524.987,12279585
R_tet_1002.tif:0001-0542-0471:c:1/2 t:1/61 - 001_1002.nd2 (series 1),633.159,27602.721,206.764,17476900.72,1034135951,R_Te_123_02.mat,001_1002.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_1002.nd2 (series 1),395.325,514.322,80.08,203324.306,12031024
R_tet_1003.tif:0001-0518-0465:c:1/2 t:1/61 - 001_1003.nd2 (series 1),2047.824,38952.288,415.46,79767433.62,4719965637,R_Te_123_03.mat,001_1003.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_1003.nd2 (series 1),395.325,525.761,80.08,207846.56,12298613
R_tet_1004.tif:0001-0583-0500:c:1/2 t:1/61 - 001_1004.nd2 (series 1),530.761,25210.437,237.134,13380729.09,791758975,R_Te_123_04.mat,001_1004.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_1004.nd2 (series 1),395.325,513.018,80.08,202808.737,12000517
R_tet_1005.tif:0001-0670-0484:c:1/2 t:1/61 - 001_1005.nd2 (series 1),1130.543,41458.332,331.102,46870411.13,2773396609,R_Te_123_05.mat,001_1005.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_1005.nd2 (series 1),395.325,520.999,80.08,205963.629,12187197
R_tet_1006.tif:0001-0524-0543:c:1/2 t:1/60 - 001_1006.nd2 (series 1),4060.26,29677.932,715.663,120500104.4,7130182408,R_Te_123_06.mat,001_1006.nd2:0001-0137-0168:c:1/2 t:1/60 - 001_1006.nd2 (series 1),395.325,520.174,80.08,205637.561,12167903
R_tet_1007.tif:0001-0521-0533:c:1/2 t:1/60 - 001_1007.nd2 (series 1),2123.147,1448.785,487.321,3075983.699,182010837,R_Te_123_07.mat,001_1007.nd2:0001-0137-0168:c:1/2 t:1/60 - 001_1007.nd2 (series 1),395.325,514.111,80.08,203240.735,12026079
