Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
R_Tr_01.tif:0001-0662-0504:c:1/2 t:1/61 - _1001.nd2 (series 1),763.508,35205.073,249.345,26879366.99,1590494802,R_Tr_01_result.mat,_1001.nd2:0001-0137-0168:c:1/2 t:1/61 - _1001.nd2 (series 1),395.325,539.516,80.08,213283.881,12620348
R_Tr_02.tif:0001-0600-0487:c:1/2 t:1/61 - _1002.nd2 (series 1),1312.099,37645.4,356.941,49394504.63,2922751227,R_Tr_02_result.mat,_1002.nd2:0001-0137-0168:c:1/2 t:1/61 - _1002.nd2 (series 1),395.325,546.3,80.08,215965.962,12779051
R_Tr_03.tif:0001-0482-0517:c:1/2 t:1/61 - _1003.nd2 (series 1),3445.421,29639.785,588.833,102121523,6042692579,R_Tr_03_result.mat,_1003.nd2:0001-0137-0168:c:1/2 t:1/61 - _1003.nd2 (series 1),395.325,585.699,80.08,231541.475,13700679
R_Tr_04.tif:0001-0563-0491:c:1/2 t:1/60 - _1004.nd2 (series 1),3382.62,6724.464,338.032,22746306.56,1345935057,R_Tr_04_result.mat,_1004.nd2:0001-0137-0168:c:1/2 t:1/60 - _1004.nd2 (series 1),395.325,623.57,80.08,246512.83,14586558
R_Tr_05.tif:0001-0530-0509:c:1/2 t:1/61 - _1005.nd2 (series 1),1717.784,32142.197,251.441,55213349.19,3267061494,R_Tr_05_result.mat,_1005.nd2:0001-0137-0168:c:1/2 t:1/61 - _1005.nd2 (series 1),395.325,546.849,80.08,216182.823,12791883
R_Tr_06.tif:0001-0479-0513:c:1/2 t:1/61 - _1006.nd2 (series 1),1476.993,5661.121,215.245,8361434.3,494759337,R_Tr_06_result.mat,_1006.nd2:0001-0189-0448:c:1/2 t:1/61 - _1006.nd2 (series 1),395.325,601.865,80.08,237932.143,14078825
R_Tr_07.tif:0001-0501-0519:c:1/2 t:1/61 - _1007.nd2 (series 1),819.667,38059.265,390.352,31195925.11,1845912396,R_Tr_07_result.mat,_1007.nd2:0001-0137-0168:c:1/2 t:1/61 - _1007.nd2 (series 1),395.325,534.626,80.08,211350.944,12505973
R_Tr_08.tif:0001-0501-0487:c:1/2 t:1/61 - _1008.nd2 (series 1),1531.935,21902.662,295.416,33553444.79,1985410577,R_Tr_08_result.mat,_1008.nd2:0001-0137-0168:c:1/2 t:1/61 - _1008.nd2 (series 1),395.325,540.364,80.08,213619.194,12640189
R_Tr_09.tif:0001-0638-0405:c:1/2 t:1/61 - _1009.nd2 (series 1),465.156,28820.851,156.333,13406182.57,793265098,R_Tr_09_result.mat,_1009.nd2:0001-0137-0168:c:1/2 t:1/61 - _1009.nd2 (series 1),395.325,528.642,80.08,208985.468,12366004
R_Tr_10.tif:0001-0616-0477:c:1/2 t:1/61 - _1010.nd2 (series 1),6146.548,36053.399,625.309,221603945,13112657105,R_Tr_10_result.mat,_1010.nd2:0001-0137-0168:c:1/2 t:1/61 - _1010.nd2 (series 1),395.325,538.929,80.08,213052.165,12606637
001_1.nd2 - C=1:0001-0462-0534:c:2/2 t:1/61 - 001_1.nd2 (series 1),321.556,4738.802,159.201,1523791.694,90165189,R_Tr_216_00.mat,001_1.nd2:0001-0137-0168:c:2/2 t:1/61 - 001_1.nd2 (series 1),395.325,529.079,80.08,209158.034,12376215
001_1002.nd2 - C=1:0001-0459-0525:c:2/2 t:1/61 - 001_1002.nd2 (series 1),451.636,6993.228,162.342,3158390.52,186887013,R_Tr_216_02.mat,001_1002.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1002.nd2 (series 1),395.325,516.117,80.08,204033.666,12072998
001_1003.nd2 - C=1:0001-0554-0467:c:2/2 t:1/61 - 001_1003.nd2 (series 1),588.559,955.122,173.975,562146.289,33263094,R_Tr_216_03.mat,001_1003.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1003.nd2 (series 1),395.325,505.452,80.08,199817.556,11823524
001_1004.nd2 - C=1:0001-0150-0756:c:2/2 t:1/61 - 001_1004.nd2 (series 1),166.769,2211.375,69.535,368789.299,21821852,R_Tr_216_04.mat,001_1004.nd2:0002-0159-0522:c:2/2 t:1/61 - 001_1004.nd2 (series 1),395.325,505.289,80.08,199753.2,11819716
001_1005.nd2 - C=1:0001-0344-0574:c:2/2 t:1/61 - 001_1005.nd2 (series 1),1118.003,1258.825,203.776,1407369.876,83276324,R_Tr_216_10.mat,001_1005.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1005.nd2 (series 1),395.325,503.661,80.08,199109.682,11781638
001_1006.nd2 - C=1:0001-0488-0711:c:2/2 t:1/61 - 001_1006.nd2 (series 1),2117.435,1827.01,341.171,3868574.978,228909762,R_Tr_216_05.mat,001_1006.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1006.nd2 (series 1),395.325,511.037,80.08,202025.422,11954167
001_1007.nd2 - C=1:0001-0526-0294:c:2/2 t:1/61 - 001_1007.nd2 (series 1),563.294,3119.865,153.46,1757400.648,103988204,R_Tr_216_06.mat,001_1007.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1007.nd2 (series 1),395.325,509.598,80.08,201456.771,11920519
001_1008.nd2 - C=1:0001-0483-0403:c:2/2 t:1/61 - 001_1008.nd2 (series 1),567.519,3338.982,201.42,1894935.552,112126364,R_Tr_216_11.mat,001_1008.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1008.nd2 (series 1),395.325,512.653,80.08,202664.293,11991970
001_1009.nd2 - C=1:0001-0326-0487:c:2/2 t:1/61 - 001_1009.nd2 (series 1),1029.768,3542.927,201.504,3648392.179,215881194,R_Tr_216_07.mat,001_1009.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1009.nd2 (series 1),395.325,505.326,80.08,199768.005,11820592
001_1004.nd2 - C=1:0001-0709-0869:c:2/2 t:1/61 - 001_1004.nd2 (series 1),653.996,1566.353,187.97,1024388.684,60614715,R_Tr_216_08.mat,001_1004.nd2:0002-0159-0522:c:2/2 t:1/61 - 001_1004.nd2 (series 1),395.325,505.289,80.08,199753.2,11819716
001_1007.nd2 - C=1:0001-0502-0651:c:2/2 t:1/61 - 001_1007.nd2 (series 1),828.083,2007.547,167.296,1662415.803,98367799,R_Tr_216_09.mat,001_1007.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1007.nd2 (series 1),395.325,509.598,80.08,201456.771,11920519
001_1009.nd2 - C=1:0001-0658-0407:c:2/2 t:1/61 - 001_1009.nd2 (series 1),2286.79,2799.194,438.872,6401167.556,378767311,R_Tr_216_12.mat,001_1009.nd2:0002-0137-0168:c:2/2 t:1/61 - 001_1009.nd2 (series 1),395.325,505.326,80.08,199768.005,11820592
Trimer_001.nd2 - C=0:0001-0537-0425:c:1/2 t:1/61 - Trimer_001.nd2 (series 1),451.602,1012.528,164,457259.379,27056768,R_Tr_518_01.mat,Trimer_001.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_001.nd2 (series 1),411.329,485.275,82.16,199607.708,11811107
Trimer_002.nd2 - C=0:0001-0540-0463:c:1/2 t:1/61 - Trimer_002.nd2 (series 1),1223.087,552.678,451.465,675972.808,39998391,R_Tr_518_02.mat,Trimer_002.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_002.nd2 (series 1),411.329,498.239,82.16,204940.165,12126637
Trimer_003.nd2 - C=0:0001-0508-0295:c:1/2 t:1/61 - Trimer_003.nd2 (series 1),244.543,826.255,157.916,202054.862,11955909,R_Tr_518_03.mat,Trimer_003.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_003.nd2 (series 1),411.329,479.514,82.16,197238.193,11670899
Trimer_004.nd2 - C=0:0001-0762-0296:c:1/2 t:1/61 - Trimer_004.nd2 (series 1),426.979,1170.875,191.427,499938.487,29582159,R_Tr_518_04.mat,Trimer_004.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_004.nd2 (series 1),411.329,486.424,82.16,200080.486,11839082
Trimer_005.nd2 - C=0:0001-0602-0480:c:1/2 t:1/61 - Trimer_005.nd2 (series 1),4157.468,1648.482,573.428,6853509.153,405533086,R_Tr_518_05.mat,Trimer_005.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_005.nd2 (series 1),411.329,492.976,82.16,202775.529,11998552
Trimer_002.nd2 - C=0:0001-0647-0572:c:1/2 t:1/61 - Trimer_002.nd2 (series 1),191.494,543.979,121.348,104168.609,6163823,R_Tr_518_06.mat,Trimer_002.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_002.nd2 (series 1),411.329,498.239,82.16,204940.165,12126637
Trimer_007.nd2 - C=0:0001-0518-0354:c:1/2 t:1/61 - Trimer_007.nd2 (series 1),651.985,4390.788,126.787,2862728.4,169392213,R_Tr_518_07.mat,Trimer_007.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_007.nd2 (series 1),411.329,483.685,82.16,198953.83,11772416
Trimer_008.nd2 - C=0:0001-0674-0511:c:1/2 t:1/61 - Trimer_008.nd2 (series 1),1074.265,2358.264,236.119,2533401.175,149905395,R_Tr_518_08.mat,Trimer_008.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_008.nd2 (series 1),411.329,486.126,82.16,199957.657,11831814
Trimer_009.nd2 - C=0:0001-0544-0368:c:1/2 t:1/61 - Trimer_009.nd2 (series 1),1336.655,1086.045,448.288,1451666.973,85897454,R_Tr_518_09.mat,Trimer_009.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_009.nd2 (series 1),411.329,486.37,82.16,200058.127,11837759
Trimer_010.nd2 - C=0:0001-0556-0482:c:1/2 t:1/61 - Trimer_010.nd2 (series 1),835.367,3527.387,160.916,2946662.419,174358723,R_Tr_518_10.mat,Trimer_010.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_010.nd2 (series 1),411.329,483.226,82.16,198765.108,11761249
Trimer_002.nd2 - C=0:0001-0642-0364:c:1/2 t:1/61 - Trimer_002.nd2 (series 1),528.666,546.33,196.504,288826.171,17090306,R_Tr_518_11.mat,Trimer_002.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Trimer_002.nd2 (series 1),411.329,498.239,82.16,204940.165,12126637
