 ,Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
1,_1001.nd2 - C=1:0001-0453-0527:c:2/2 t:1/61 - _1001.nd2 (series 1),3966.582,553.131,676.371,2194040.979,129824910,R_Te_01_result.mat,_1001.nd2:0001-0137-0168:c:2/2 t:1/61 - _1001.nd2 (series 1),395.325,464.02,80.08,183438.802,10854367
2,_1002.nd2 - C=1:0001-0469-0544:c:2/2 t:1/61 - _1002.nd2 (series 1),2451.396,635.015,515.646,1556673.416,92110853,R_Te_02_result.mat,_1002.nd2:0001-0137-0168:c:2/2 t:1/61 - _1002.nd2 (series 1),395.325,465.94,80.08,184197.663,10899270
3,_1003.nd2 - C=1:0001-0425-0514:c:2/2 t:1/61 - _1003.nd2 (series 1),1381.474,832.648,358.759,1150281.685,68064005,R_Te_03_result.mat,_1003.nd2:0001-0137-0168:c:2/2 t:1/61 - _1003.nd2 (series 1),395.325,464.897,80.08,183785.354,10874873
4,_1004.nd2 - C=1:0001-0554-0524:c:2/2 t:1/60 - _1004.nd2 (series 1),1149.707,954.541,460.605,1097442.888,64937449,R_Te_04_result.mat,_1004.nd2:0001-0137-0168:c:2/2 t:1/60 - _1004.nd2 (series 1),395.325,465.67,80.08,184090.99,10892958
5,_1005.nd2 - C=1:0001-0545-0695:c:2/2 t:1/61 - _1005.nd2 (series 1),1056.554,640.693,301.747,676927.202,40054864,R_Te_05_result.mat,_1005.nd2:0001-0137-0168:c:2/2 t:1/61 - _1005.nd2 (series 1),395.325,465.906,80.08,184184.363,10898483
6,_1006.nd2 - C=1:0001-0449-0513:c:2/2 t:1/60 - _1006.nd2 (series 1),1716.381,745.03,655.753,1278755.975,75666034,R_Te_06_result.mat,_1006.nd2:0001-0137-0168:c:2/2 t:1/60 - _1006.nd2 (series 1),395.325,467.649,80.08,184873.443,10939257
7,_1007.nd2 - C=1:0001-0526-0573:c:2/2 t:1/61 - _1007.nd2 (series 1),1438.122,530.92,214.614,763528.395,45179195,R_Te_07_result.mat,_1007.nd2:0001-0137-0168:c:2/2 t:1/61 - _1007.nd2 (series 1),395.325,463.66,80.08,183296.352,10845938
8,_1008.nd2 - C=1:0001-0568-0524:c:2/2 t:1/61 - _1008.nd2 (series 1),641.051,638.83,232.404,409522.558,24232104,R_Te_08_result.mat,_1008.nd2:0001-0137-0168:c:2/2 t:1/61 - _1008.nd2 (series 1),395.325,466.567,80.08,184445.468,10913933
9,_1009.nd2 - C=1:0001-0623-0576:c:2/2 t:1/61 - _1009.nd2 (series 1),2312.833,605.273,344.837,1399896.087,82834088,R_Te_09_result.mat,_1009.nd2:0001-0137-0168:c:2/2 t:1/61 - _1009.nd2 (series 1),395.325,465.655,80.08,184084.974,10892602
10,_1010.nd2 - C=1:0001-0407-0555:c:2/2 t:1/61 - _1010.nd2 (series 1),936.514,544.443,859.274,509877.867,30170288,R_Te_10_result.mat,_1010.nd2:0001-0137-0168:c:2/2 t:1/61 - _1010.nd2 (series 1),395.325,463.446,80.08,183211.7,10840929
