 ,Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
1,_1001.nd2 - C=1:0001-0662-0504:c:2/2 t:1/61 - _1001.nd2 (series 1),763.508,754.791,249.345,576289.037,34099943,R_Tr_01_result.mat,_1001.nd2:0001-0137-0168:c:2/2 t:1/61 - _1001.nd2 (series 1),395.325,468.945,80.08,185385.784,10969573
2,_1002.nd2 - C=1:0001-0600-0487:c:2/2 t:1/61 - _1002.nd2 (series 1),1312.099,1860.414,356.941,2441047.627,144440688,R_Tr_02_result.mat,_1002.nd2:0001-0137-0168:c:2/2 t:1/61 - _1002.nd2 (series 1),395.325,469.981,80.08,185795.321,10993806
3,_1003.nd2 - C=1:0001-0482-0517:c:2/2 t:1/61 - _1003.nd2 (series 1),3445.42,655.541,588.833,2258612.955,133645737,R_Tr_03_result.mat,_1003.nd2:0001-0137-0168:c:2/2 t:1/61 - _1003.nd2 (series 1),395.325,468.806,80.08,185330.724,10966315
4,_1004.nd2 - C=1:0001-0563-0491:c:2/2 t:1/60 - _1004.nd2 (series 1),3382.62,827.432,338.032,2798888.684,165614715,R_Tr_04_result.mat,_1004.nd2:0001-0137-0168:c:2/2 t:1/60 - _1004.nd2 (series 1),395.325,471.753,80.08,186495.472,11035235
5,_1005.nd2 - C=1:0001-0530-0509:c:2/2 t:1/61 - _1005.nd2 (series 1),1717.784,606.648,251.441,1042090.318,61662149,R_Tr_05_result.mat,_1005.nd2:0001-0137-0168:c:2/2 t:1/61 - _1005.nd2 (series 1),395.325,464.336,80.08,183563.558,10861749
6,_1006.nd2 - C=1:0001-0479-0513:c:2/2 t:1/61 - _1006.nd2 (series 1),1476.992,2277.039,215.245,3363169.138,199004091,R_Tr_06_result.mat,_1006.nd2:0001-0189-0448:c:2/2 t:1/61 - _1006.nd2 (series 1),395.325,471.06,80.08,186221.658,11019033
7,_1007.nd2 - C=1:0001-0501-0519:c:2/2 t:1/61 - _1007.nd2 (series 1),819.667,884.78,390.352,725225.272,42912738,R_Tr_07_result.mat,_1007.nd2:0001-0137-0168:c:2/2 t:1/61 - _1007.nd2 (series 1),395.325,465.166,80.08,183891.587,10881159
8,_1008.nd2 - C=1:0001-0501-0487:c:2/2 t:1/61 - _1008.nd2 (series 1),1531.934,557.226,295.416,853633.297,50510846,R_Tr_08_result.mat,_1008.nd2:0001-0137-0168:c:2/2 t:1/61 - _1008.nd2 (series 1),395.325,465.271,80.08,183933.009,10883610
9,_1009.nd2 - C=1:0001-0638-0405:c:2/2 t:1/61 - _1009.nd2 (series 1),465.156,922.195,156.333,428964.335,25382505,R_Tr_09_result.mat,_1009.nd2:0001-0137-0168:c:2/2 t:1/61 - _1009.nd2 (series 1),395.325,464.217,80.08,183516.661,10858974
10,_1010.nd2 - C=1:0001-0616-0477:c:2/2 t:1/61 - _1010.nd2 (series 1),6146.547,786.995,625.309,4837301.94,286230884,R_Tr_10_result.mat,_1010.nd2:0001-0137-0168:c:2/2 t:1/61 - _1010.nd2 (series 1),395.325,466.447,80.08,184397.894,10911118
