 ,Label,Area,IntDen,RawIntDen
1,180911_sedimentation_GABFAB-700.tif:0613-0656,0.119,45.642,159134.000
2,180911_sedimentation_GABFAB-700.tif:0596-0656,0.119,27.716,96632.000
3,180911_sedimentation_GABFAB-700.tif:0611-0687,0.119,35.118,122441.000
4,180911_sedimentation_GABFAB-700.tif:0593-0689,0.119,28.749,100237.000
5,180911_sedimentation_GABFAB-700.tif:0609-0722,0.119,74.883,261085.000
6,180911_sedimentation_GABFAB-700.tif:0595-0722,0.119,33.564,117023.000
7,180911_sedimentation_GABFAB-700.tif:0607-0757,0.119,54.325,189407.000
8,180911_sedimentation_GABFAB-700.tif:0586-0758,0.119,30.946,107896.000
9,180911_sedimentation_GABFAB-700.tif:0606-0793,0.119,54.156,188817.000
10,180911_sedimentation_GABFAB-700.tif:0590-0794,0.119,29.757,103750.000
11,180911_sedimentation_GABFAB-700.tif:0606-0828,0.119,52.164,181874.000
12,180911_sedimentation_GABFAB-700.tif:0592-0828,0.119,30.355,105833.000
13,180911_sedimentation_GABFAB-700.tif:0606-0862,0.119,54.690,190679.000
14,180911_sedimentation_GABFAB-700.tif:0636-0863,0.119,33.219,115819.000
15,180911_sedimentation_GABFAB-700.tif:0608-0897,0.119,55.262,192676.000
16,180911_sedimentation_GABFAB-700.tif:0638-0900,0.119,33.407,116475.000
17,180911_sedimentation_GABFAB-700.tif:0610-0933,0.119,48.698,169790.000
18,180911_sedimentation_GABFAB-700.tif:0594-0933,0.119,31.184,108726.000
19,180911_sedimentation_GABFAB-700.tif:0614-0968,0.119,44.326,154544.000
20,180911_sedimentation_GABFAB-700.tif:0597-0968,0.119,28.791,100380.000
21,180911_sedimentation_GABFAB-700.tif:0481-0657,0.227,77.879,271529.000
22,180911_sedimentation_GABFAB-700.tif:0508-0657,0.227,58.374,203524.000
23,180911_sedimentation_GABFAB-700.tif:0480-0686,0.227,56.994,198713.000
24,180911_sedimentation_GABFAB-700.tif:0497-0686,0.227,52.518,183106.000
25,180911_sedimentation_GABFAB-700.tif:0478-0723,0.227,1493.682,5207821.000
26,180911_sedimentation_GABFAB-700.tif:0554-0721,0.227,51.872,180855.000
27,180911_sedimentation_GABFAB-700.tif:0478-0759,0.227,1247.755,4350379.000
28,180911_sedimentation_GABFAB-700.tif:0552-0759,0.227,55.009,191793.000
29,180911_sedimentation_GABFAB-700.tif:0478-0794,0.227,1455.665,5075272.000
30,180911_sedimentation_GABFAB-700.tif:0549-0794,0.227,58.172,202820.000
31,180911_sedimentation_GABFAB-700.tif:0479-0829,0.227,1422.560,4959848.000
32,180911_sedimentation_GABFAB-700.tif:0550-0828,0.227,54.964,191635.000
33,180911_sedimentation_GABFAB-700.tif:0477-0863,0.227,1146.088,3995911.000
34,180911_sedimentation_GABFAB-700.tif:0547-0863,0.227,57.394,200107.000
35,180911_sedimentation_GABFAB-700.tif:0479-0897,0.227,1385.614,4831034.000
36,180911_sedimentation_GABFAB-700.tif:0547-0898,0.227,56.921,198459.000
37,180911_sedimentation_GABFAB-700.tif:0479-0932,0.227,1137.289,3965232.000
38,180911_sedimentation_GABFAB-700.tif:0550-0933,0.227,56.645,197498.000
39,180911_sedimentation_GABFAB-700.tif:0480-0968,0.227,974.477,3397577.000
40,180911_sedimentation_GABFAB-700.tif:0576-0970,0.227,55.384,193099.000
