 ,Label,Area,IntDen,RawIntDen
1,180911_sedimentation_GABFAB-700.tif:0603-0142,0.170,72.156,251576.000
2,180911_sedimentation_GABFAB-700.tif:0562-0142,0.170,38.737,135059.000
3,180911_sedimentation_GABFAB-700.tif:0599-0179,0.170,75.141,261983.000
4,180911_sedimentation_GABFAB-700.tif:0551-0180,0.170,48.422,168826.000
5,180911_sedimentation_GABFAB-700.tif:0598-0214,0.170,77.065,268693.000
6,180911_sedimentation_GABFAB-700.tif:0569-0213,0.170,40.523,141286.000
7,180911_sedimentation_GABFAB-700.tif:0596-0249,0.170,102.611,357760.000
8,180911_sedimentation_GABFAB-700.tif:0545-0250,0.170,38.731,135039.000
9,180911_sedimentation_GABFAB-700.tif:0594-0286,0.170,77.135,268935.000
10,180911_sedimentation_GABFAB-700.tif:0562-0285,0.170,43.781,152646.000
11,180911_sedimentation_GABFAB-700.tif:0596-0322,0.170,97.908,341363.000
12,180911_sedimentation_GABFAB-700.tif:0570-0322,0.170,45.594,158965.000
13,180911_sedimentation_GABFAB-700.tif:0600-0357,0.170,143.830,501473.000
14,180911_sedimentation_GABFAB-700.tif:0621-0360,0.170,54.467,189904.000
15,180911_sedimentation_GABFAB-700.tif:0600-0392,0.170,102.002,355635.000
16,180911_sedimentation_GABFAB-700.tif:0623-0396,0.170,56.602,197348.000
17,180911_sedimentation_GABFAB-700.tif:0599-0425,0.170,108.004,376563.000
18,180911_sedimentation_GABFAB-700.tif:0623-0428,0.170,56.875,198299.000
19,180911_sedimentation_GABFAB-700.tif:0603-0462,0.170,125.572,437814.000
20,180911_sedimentation_GABFAB-700.tif:0625-0462,0.170,61.610,214807.000
21,180911_sedimentation_GABFAB-700.tif:0456-0141,0.123,30.041,104741.000
22,180911_sedimentation_GABFAB-700.tif:0490-0143,0.123,30.389,105952.000
23,180911_sedimentation_GABFAB-700.tif:0462-0177,0.123,34.006,118563.000
24,180911_sedimentation_GABFAB-700.tif:0480-0176,0.123,30.836,107511.000
25,180911_sedimentation_GABFAB-700.tif:0453-0211,0.123,80.465,280547.000
26,180911_sedimentation_GABFAB-700.tif:0478-0214,0.123,35.569,124014.000
27,180911_sedimentation_GABFAB-700.tif:0452-0247,0.123,69.107,240947.000
28,180911_sedimentation_GABFAB-700.tif:0476-0247,0.123,30.998,108076.000
29,180911_sedimentation_GABFAB-700.tif:0452-0281,0.123,68.539,238966.000
30,180911_sedimentation_GABFAB-700.tif:0486-0282,0.123,30.322,105719.000
31,180911_sedimentation_GABFAB-700.tif:0452-0317,0.123,71.592,249610.000
32,180911_sedimentation_GABFAB-700.tif:0486-0318,0.123,27.860,97137.000
33,180911_sedimentation_GABFAB-700.tif:0451-0352,0.123,83.706,291848.000
34,180911_sedimentation_GABFAB-700.tif:0479-0354,0.123,30.421,106065.000
35,180911_sedimentation_GABFAB-700.tif:0450-0387,0.123,66.657,232404.000
36,180911_sedimentation_GABFAB-700.tif:0481-0388,0.123,29.349,102326.000
37,180911_sedimentation_GABFAB-700.tif:0452-0422,0.123,89.665,312623.000
38,180911_sedimentation_GABFAB-700.tif:0475-0421,0.123,36.625,127695.000
39,180911_sedimentation_GABFAB-700.tif:0453-0456,0.123,87.876,306387.000
40,180911_sedimentation_GABFAB-700.tif:0477-0456,0.123,37.871,132040.000
