 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 1 700.tif:0212-0104,0.029,10470.667
2,180921 GABFAB sedimentation 1 700.tif:0196-0108,0.019,6838.667
3,180921 GABFAB sedimentation 1 700.tif:0212-0137,0.028,10242.000
4,180921 GABFAB sedimentation 1 700.tif:0191-0136,0.018,6634.000
5,180921 GABFAB sedimentation 1 700.tif:0209-0170,0.029,10265.333
6,180921 GABFAB sedimentation 1 700.tif:0186-0169,0.019,6727.333
7,180921 GABFAB sedimentation 1 700.tif:0206-0207,0.029,10505.667
8,180921 GABFAB sedimentation 1 700.tif:0191-0207,0.019,6957.000
9,180921 GABFAB sedimentation 1 700.tif:0203-0280,0.029,10516.333
10,180921 GABFAB sedimentation 1 700.tif:0184-0279,0.019,6828.333
11,180921 GABFAB sedimentation 1 700.tif:0083-0103,0.017,6215.667
12,180921 GABFAB sedimentation 1 700.tif:0103-0105,0.017,6107.667
13,180921 GABFAB sedimentation 1 700.tif:0082-0136,0.016,5812.667
14,180921 GABFAB sedimentation 1 700.tif:0102-0137,0.016,5828.667
15,180921 GABFAB sedimentation 1 700.tif:0082-0169,0.019,6927.333
16,180921 GABFAB sedimentation 1 700.tif:0106-0171,0.016,5687.000
17,180921 GABFAB sedimentation 1 700.tif:0081-0203,0.019,6960.667
18,180921 GABFAB sedimentation 1 700.tif:0114-0207,0.015,5558.667
19,180921 GABFAB sedimentation 1 700.tif:0079-0273,0.021,7575.667
20,180921 GABFAB sedimentation 1 700.tif:0110-0276,0.016,5816.667
