 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 700.tif:0177-0345,0.013,4762.000
2,180921 GABFAB sedimentation 700.tif:0213-0344,0.011,3818.000
3,180921 GABFAB sedimentation 700.tif:0179-0379,0.013,4656.000
4,180921 GABFAB sedimentation 700.tif:0155-0379,0.012,4250.000
5,180921 GABFAB sedimentation 700.tif:0180-0411,0.016,5740.000
6,180921 GABFAB sedimentation 700.tif:0161-0410,0.011,4093.000
7,180921 GABFAB sedimentation 700.tif:0181-0445,0.015,5511.000
8,180921 GABFAB sedimentation 700.tif:0166-0445,0.011,4119.000
9,180921 GABFAB sedimentation 700.tif:0183-0478,0.015,5287.000
10,180921 GABFAB sedimentation 700.tif:0203-0478,0.012,4334.000
11,180921 GABFAB sedimentation 700.tif:0179-0507,0.015,5478.000
12,180921 GABFAB sedimentation 700.tif:0202-0505,0.012,4428.000
13,180921 GABFAB sedimentation 700.tif:0060-0336,0.019,6907.000
14,180921 GABFAB sedimentation 700.tif:0085-0338,0.019,6694.000
15,180921 GABFAB sedimentation 700.tif:0066-0369,0.021,7579.000
16,180921 GABFAB sedimentation 700.tif:0082-0370,0.020,7136.000
17,180921 GABFAB sedimentation 700.tif:0062-0404,0.072,26042.000
18,180921 GABFAB sedimentation 700.tif:0134-0407,0.020,7089.000
19,180921 GABFAB sedimentation 700.tif:0062-0439,0.071,25655.000
20,180921 GABFAB sedimentation 700.tif:0131-0442,0.020,7043.000
21,180921 GABFAB sedimentation 700.tif:0063-0473,0.070,25348.000
22,180921 GABFAB sedimentation 700.tif:0134-0474,0.018,6634.000
23,180921 GABFAB sedimentation 700.tif:0063-0510,0.074,26690.000
24,180921 GABFAB sedimentation 700.tif:0100-0509,0.020,7331.000
