 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 700.tif:0201-0851,0.015,5342.000
2,180921 GABFAB sedimentation 700.tif:0229-0851,0.014,4956.000
3,180921 GABFAB sedimentation 700.tif:0201-0883,0.014,5167.000
4,180921 GABFAB sedimentation 700.tif:0220-0883,0.013,4806.000
5,180921 GABFAB sedimentation 700.tif:0202-0916,0.013,4802.000
6,180921 GABFAB sedimentation 700.tif:0213-0916,0.012,4454.000
7,180921 GABFAB sedimentation 700.tif:0204-0951,0.016,5810.000
8,180921 GABFAB sedimentation 700.tif:0215-0950,0.014,4894.000
9,180921 GABFAB sedimentation 700.tif:0204-0987,0.015,5246.000
10,180921 GABFAB sedimentation 700.tif:0225-0989,0.013,4584.000
11,180921 GABFAB sedimentation 700.tif:0204-1022,0.014,5211.000
12,180921 GABFAB sedimentation 700.tif:0189-1020,0.013,4752.000
13,180921 GABFAB sedimentation 700.tif:0203-1052,0.014,4919.000
14,180921 GABFAB sedimentation 700.tif:0173-1049,0.012,4324.000
15,180921 GABFAB sedimentation 700.tif:0054-0843,0.022,7798.000
16,180921 GABFAB sedimentation 700.tif:0073-0841,0.022,8028.000
17,180921 GABFAB sedimentation 700.tif:0052-0871,0.024,8559.000
18,180921 GABFAB sedimentation 700.tif:0071-0871,0.024,8500.000
19,180921 GABFAB sedimentation 700.tif:0055-0910,0.072,25744.000
20,180921 GABFAB sedimentation 700.tif:0079-0909,0.023,8334.000
21,180921 GABFAB sedimentation 700.tif:0056-0945,0.072,25740.000
22,180921 GABFAB sedimentation 700.tif:0082-0945,0.024,8608.000
23,180921 GABFAB sedimentation 700.tif:0057-0979,0.068,24606.000
24,180921 GABFAB sedimentation 700.tif:0080-0981,0.022,7871.000
25,180921 GABFAB sedimentation 700.tif:0056-1014,0.070,25239.000
26,180921 GABFAB sedimentation 700.tif:0081-1014,0.019,6998.000
27,180921 GABFAB sedimentation 700.tif:0054-1052,0.053,19116.000
28,180921 GABFAB sedimentation 700.tif:0080-1048,0.019,6715.000
