 ,Label,IntDen,RawIntDen
1,180921 GABFAB sedimentation 700.tif:0212-0599,0.017,6015.000
2,180921 GABFAB sedimentation 700.tif:0185-0599,0.010,3600.000
3,180921 GABFAB sedimentation 700.tif:0210-0632,0.017,6069.000
4,180921 GABFAB sedimentation 700.tif:0199-0633,0.011,3852.000
5,180921 GABFAB sedimentation 700.tif:0208-0669,0.016,5673.000
6,180921 GABFAB sedimentation 700.tif:0220-0668,0.011,3934.000
7,180921 GABFAB sedimentation 700.tif:0205-0703,0.018,6340.000
8,180921 GABFAB sedimentation 700.tif:0193-0703,0.011,3998.000
9,180921 GABFAB sedimentation 700.tif:0204-0737,0.017,6144.000
10,180921 GABFAB sedimentation 700.tif:0218-0737,0.011,3797.000
11,180921 GABFAB sedimentation 700.tif:0202-0774,0.016,5914.000
12,180921 GABFAB sedimentation 700.tif:0189-0775,0.010,3566.000
13,180921 GABFAB sedimentation 700.tif:0201-0811,0.018,6309.000
14,180921 GABFAB sedimentation 700.tif:0191-0810,0.011,3851.000
15,180921 GABFAB sedimentation 700.tif:0059-0597,0.010,3490.000
16,180921 GABFAB sedimentation 700.tif:0084-0600,0.009,3408.000
17,180921 GABFAB sedimentation 700.tif:0056-0630,0.009,3369.000
18,180921 GABFAB sedimentation 700.tif:0074-0631,0.009,3371.000
19,180921 GABFAB sedimentation 700.tif:0056-0665,0.013,4763.000
20,180921 GABFAB sedimentation 700.tif:0083-0666,0.010,3621.000
21,180921 GABFAB sedimentation 700.tif:0054-0699,0.012,4469.000
22,180921 GABFAB sedimentation 700.tif:0082-0700,0.009,3326.000
23,180921 GABFAB sedimentation 700.tif:0053-0735,0.014,5218.000
24,180921 GABFAB sedimentation 700.tif:0091-0735,0.011,3992.000
25,180921 GABFAB sedimentation 700.tif:0052-0770,0.014,5080.000
26,180921 GABFAB sedimentation 700.tif:0096-0773,0.010,3603.000
27,180921 GABFAB sedimentation 700.tif:0050-0807,0.014,4895.000
28,180921 GABFAB sedimentation 700.tif:0093-0809,0.009,3346.000
