Cell,Treatment,Filopodia,Perimeter
1,1,7,672.092
2,1,26,1465.705
3,1,21,1353.454
4,1,13,1839.831
5,1,4,1437.496
6,1,10,1349.263
7,1,15,2466.398
8,1,15,959.358
9,1,8,487.53
10,1,24,2721.441
11,1,5,1037.841
12,1,4,1108.394
13,1,5,854.464
14,1,4,1043.227
15,1,5,1118.01
16,1,56,2036.995
17,1,33,2013.118
18,1,5,1641.228
19,1,19,1851.736
20,1,10,1597.757
21,1,5,1567.431
22,1,19,990.776
23,1,8,1072.907
24,1,10,888.607
25,1,7,1351.132
26,1,17,607.64
27,1,17,2008.595
28,1,18,897.296
29,1,7,1008.856
30,1,5,1627.786
31,1,8,1341.535
32,1,17,1081.575
33,1,6,992.092
34,3,45,1853.23
35,3,17,1240.496
36,3,2,640.335
37,3,15,590.284
38,3,17,690.401
39,3,3,490.762
40,3,9,1149.947
41,3,7,2192.45
42,3,14,1208.749
43,3,7,553.221
44,3,40,2044.851
45,3,19,981.77
46,3,3,2085.31
47,3,4,736.422
48,3,6,1034.685
49,3,6,1669.555
50,3,2,1114.378
51,3,12,1969.72
52,3,10,1105.327
53,3,3,580.883
54,3,2,432.092
55,3,5,1365.489
56,3,13,1575.97
57,3,7,255.258
58,3,12,1865.513
59,3,16,1002.048
60,3,2,702.26
61,3,23,2199.324
62,3,8,1699.183
63,3,14,2071.704
64,3,1,656.206
65,3,17,1094.424
66,3,26,1920.25
67,3,9,1155.013
68,3,12,1244.839
69,3,12,938.734
70,3,7,837.328
71,3,13,715.473
72,3,22,1638.552
73,3,9,513.807
74,3,25,1375.634
75,3,3,592.616
76,3,43,3490.846
77,3,8,1225.545
78,3,4,1378.562
79,3,7,682.645
80,0,4,1909.503
81,0,54,1472.652
82,0,16,1385.964
83,0,23,503.23
84,0,23,1304.046
85,0,92,2823.191
86,0,6,547.709
87,0,21,562.357
88,0,12,852.822
89,0,16,986.988
90,0,22,660.969
91,0,14,753.75
92,0,15,535.837
93,0,3,1246.079
94,0,12,434.99
95,0,6,1313.857
96,0,9,1424.217
97,0,44,1499.65
98,0,38,1532.601
99,0,4,1688.091
100,0,9,734.532
101,0,58,1696.02
102,0,4,1745.088
103,0,13,1395.113
104,0,38,1388.656
105,0,21,719.929
106,0,13,384.259
107,0,12,781.629
108,0,3,2716.502
109,0,6,337.553
110,0,25,1094.853
111,0,19,2008.747
112,0,18,1793.674
113,0,9,730.214
114,0,25,1821.864
