Filament	Leading	Trailing
fas	2.5604	2.1249
fas err	0.078979	0.18785
fas std	0.111693173	0.265660018
aact	2.7572	2.2216
aact err	0.27395	0.10226
aact std	0.387423805	0.144617479
fim	2.9856	2.4338
fim err	0.36685	0.038932
fim std	0.518804245	0.055058162
vasp	2.3561	2.3937
vasp err	0.38579	0.72207
vasp std	0.54558945	1.021161187
unc34	2.7204	2.713
unc34 err	0.23131	0.91503
unc34 std	0.327121739	1.294047836
dimer	1.4525	1.4699
dimer err	0.021627	0.35993
dimer std	0.030585197	0.509017888
trimer	1.7423	1.6192
trimer err	0.1311	0.10148
trimer std	0.185403398	0.143514392
singed	2.384536	2.138635
singed err	0.076784	0.154434
singed std	0.10858953	0.21840336
